"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Seated Palms Up Wrist Curl",,"",1,"normal",20,8,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Seated Palms Up Wrist Curl",,"",2,"normal",20,8,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Seated Palms Up Wrist Curl",,"",3,"normal",20,8,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Hammer Curl (Dumbbell)",,"",0,"normal",60,8,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Hammer Curl (Dumbbell)",,"",1,"normal",60,7,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Hammer Curl (Dumbbell)",,"",2,"normal",60,6,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Standing Calf Raise (Machine)",,"",0,"normal",365,11,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Standing Calf Raise (Machine)",,"",1,"normal",365,9,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Standing Calf Raise (Machine)",,"",2,"normal",365,8,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Standing Calf Raise (Machine)",,"",3,"normal",365,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Incline Bench Press (Dumbbell)",,"",0,"normal",150,8,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Incline Bench Press (Dumbbell)",,"",1,"normal",150,6,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Incline Bench Press (Dumbbell)",,"",2,"normal",140,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Incline Bench Press (Dumbbell)",,"",3,"normal",140,6,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Tricep Extension (Rope)",,"",0,"normal",40,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Tricep Extension (Rope)",,"",1,"normal",35,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Tricep Extension (Rope)",,"",2,"normal",35,8,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Tricep Extension (Rope)",,"",3,"normal",30,8,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Lat Pulldown (Cable)",,"",0,"normal",175,8,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Lat Pulldown (Cable)",,"",1,"normal",175,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Lat Pulldown (Cable)",,"",2,"normal",165,8,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Lat Pulldown (Cable)",,"",3,"normal",165,6,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Triceps Pushdown",,"",0,"normal",70,9,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Triceps Pushdown",,"",1,"normal",70,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Preacher Curl (Barbell)",,"",0,"normal",50,10,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Preacher Curl (Barbell)",,"",1,"normal",50,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Preacher Curl (Barbell)",,"",2,"normal",45,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Preacher Curl (Barbell)",,"",3,"normal",45,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",165,9,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",165,7,,,
"Upper","18 Oct 2025, 19:33","18 Oct 2025, 21:01","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",165,6,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Squat (Barbell)",,"",0,"normal",295,5,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Squat (Barbell)",,"",1,"normal",275,6,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Squat (Barbell)",,"",2,"normal",275,3,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Romanian Deadlift (Barbell)",,"",0,"normal",315,7,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Romanian Deadlift (Barbell)",,"",1,"normal",315,6,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Standing Calf Raise (Machine)",,"",0,"normal",365,11,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Standing Calf Raise (Machine)",,"",1,"normal",365,9,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Standing Calf Raise (Machine)",,"",2,"normal",365,8,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Standing Calf Raise (Machine)",,"",3,"normal",365,7,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Seated Leg Curl (Machine)",,"",0,"normal",145,6,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Seated Leg Curl (Machine)",,"",1,"normal",140,6,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Leg Extension (Machine)",,"",0,"normal",248,9,,,
"Legs","16 Oct 2025, 22:38","16 Oct 2025, 23:29","","Leg Extension (Machine)",,"",1,"normal",248,6,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Pull Up (Weighted)",,"",0,"normal",35,7,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Pull Up (Weighted)",,"",1,"normal",35,6,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Pull Up (Weighted)",,"",2,"normal",,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Pull Up (Weighted)",,"",3,"normal",,9,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Bent Over Row (Barbell)",,"",0,"normal",155,9,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Bent Over Row (Barbell)",,"",1,"normal",155,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Bent Over Row (Barbell)",,"",2,"normal",155,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Bent Over Row (Barbell)",,"",3,"normal",155,7,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Preacher Curl (Barbell)",,"",0,"normal",55,6,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Preacher Curl (Barbell)",,"",1,"normal",50,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Preacher Curl (Barbell)",,"",2,"normal",50,6,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Preacher Curl (Barbell)",,"",3,"normal",45,7,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Rear Delt Reverse Fly (Cable)",,"",0,"normal",12.5,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Rear Delt Reverse Fly (Cable)",,"",1,"normal",12.5,7,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Rear Delt Reverse Fly (Cable)",,"",2,"normal",12.5,7,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Behind the Back Curl (Cable)",,"",0,"normal",22.5,7,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Behind the Back Curl (Cable)",,"",1,"normal",17.5,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Behind the Back Curl (Cable)",,"",2,"normal",20,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Lat Pulldown (Cable)",,"",0,"normal",160,4,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Seated Palms Up Wrist Curl",,"",0,"normal",20,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Seated Palms Up Wrist Curl",,"",1,"normal",20,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Seated Palms Up Wrist Curl",,"",2,"normal",20,8,,,
"Pull","15 Oct 2025, 12:21","15 Oct 2025, 13:57","","Seated Palms Up Wrist Curl",,"",3,"normal",15,8,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Incline Bench Press (Barbell)",,"",0,"normal",165,7,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Incline Bench Press (Barbell)",,"",1,"normal",165,6,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Incline Bench Press (Barbell)",,"",2,"normal",145,9,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Incline Bench Press (Barbell)",,"",3,"normal",145,7,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Tricep Extension (Rope)",,"",0,"normal",40,8,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Tricep Extension (Rope)",,"",1,"normal",40,6,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Tricep Extension (Rope)",,"",2,"normal",35,7,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Tricep Extension (Rope)",,"",3,"normal",35,9,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Chest Fly (Machine)",,"",0,"normal",188,8,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Chest Fly (Machine)",,"",1,"normal",188,7,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Chest Fly (Machine)",,"",2,"normal",180,6,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Overhead Press (Barbell)",,"",0,"normal",65,8,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Overhead Press (Barbell)",,"",1,"normal",65,7,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Lateral Raise (Dumbbell)",,"",0,"normal",40,11,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Lateral Raise (Dumbbell)",,"",1,"normal",40,9,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Lateral Raise (Dumbbell)",,"",2,"normal",40,9,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Triceps Pushdown",,"",0,"normal",60,8,,,
"Push","14 Oct 2025, 16:05","14 Oct 2025, 17:39","","Triceps Pushdown",,"",1,"normal",60,7,,,
"Lower","11 Oct 2025, 19:27","11 Oct 2025, 20:28","","Squat (Barbell)",,"",0,"normal",275,8,,,
